Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR164497_1	45.01106504485447	50.0	94.84723296523141	9.090909090909092	23890213.0
ERR164497_2	37.06975886806819	50.0	87.61752539449341	18.181818181818183	23582967.0
ERR164498_1	39.52811312501272	48.0	95.11507211416735	9.090909090909092	29147948.0
ERR164498_2	30.98914932669703	47.0	87.75998119006705	18.181818181818183	28631681.0
ERR164499_1	40.16191572188191	48.0	95.11968112606299	9.090909090909092	26208978.0
ERR164499_2	33.65427828115071	48.0	88.42272520354499	18.181818181818183	25976445.0
ERR164500_1	50.79035272101028	49.0	93.82863291615031	18.181818181818183	46132430.0
ERR164500_2	50.35885766480483	49.0	93.48003276009092	18.181818181818183	46187906.0
ERR164501_1	47.140534085864076	48.0	94.0102916534805	9.090909090909092	43261853.0
ERR164501_2	46.98668973935614	48.0	93.7679170806128	9.090909090909092	43408425.0
ERR164502_1	46.19993127689921	48.0	94.01638994152177	9.090909090909092	46865817.0
ERR164502_2	45.742443051249616	48.0	93.6167918927417	9.090909090909092	46881743.0
ERR164503_1	49.518863060753745	49.0	93.87213521837786	9.090909090909092	42463577.0
ERR164503_2	48.99682245820938	49.0	93.47437787032256	9.090909090909092	42373722.0
ERR164504_1	44.92916530779326	48.0	94.04436309512703	9.090909090909092	42765366.0
ERR164504_2	44.63017971123312	48.0	93.73199368252502	9.090909090909092	42806976.0
ERR164505_1	58.875855892365685	50.0	92.74892121289085	18.181818181818183	41640746.0
ERR164505_2	57.44915949518635	50.0	92.47158195648625	18.181818181818183	41598483.0
ERR164506_1	49.25326018029007	48.0	93.18164672977377	9.090909090909092	38503743.0
ERR164506_2	48.41119030845731	48.0	92.99173789141261	9.090909090909092	38538104.0
ERR164507_1	52.3085729235962	49.0	93.03338017514254	18.181818181818183	33651561.0
ERR164507_2	51.08465074706219	49.0	92.75199373454258	18.181818181818183	33476247.0
ERR164508_1	44.63571958701387	49.0	93.29100516332524	9.090909090909092	34063320.0
ERR164508_2	43.42905869249042	49.0	92.9209412660509	9.090909090909092	33946534.0
ERR164509_1	47.75015301171054	49.0	93.01726532384285	9.090909090909092	40656463.0
ERR164509_2	46.781482978850995	49.0	92.74165371325117	9.090909090909092	40617344.0
ERR164510_1	43.82964973388033	49.0	93.13897305148602	9.090909090909092	29222205.0
ERR164510_2	42.583502979948975	49.0	92.88423282284516	9.090909090909092	29223335.0
ERR164511_1	44.65151673529554	49.0	94.6952036799584	9.090909090909092	29553595.0
ERR164511_2	44.286848781294076	49.0	94.68883654704798	9.090909090909092	29574810.0
ERR164512_1	48.11493506207217	49.0	94.69154389689518	9.090909090909092	37825272.0
ERR164512_2	47.851417483776316	49.0	94.65193596978274	9.090909090909092	37872931.0
ERR164513_1	48.60993917174283	49.0	94.64506652629784	9.090909090909092	34431196.0
ERR164513_2	48.519528981409934	49.0	94.624207477003	9.090909090909092	34525812.0
ERR164514_1	43.228570210415995	48.0	94.99892880640695	9.090909090909092	33974251.0
ERR164514_2	43.030327703358886	48.0	94.99890440475785	9.090909090909092	34066413.0
ERR164515_1	45.78200064743826	49.0	94.83205908612074	9.090909090909092	29932444.0
ERR164515_2	45.300984247838386	49.0	94.83461973725105	9.090909090909092	30003925.0
ERR164516_1	45.30048618529923	49.0	94.89961810421434	9.090909090909092	32921285.0
ERR164516_2	45.050012709308206	49.0	94.91933240422354	9.090909090909092	33008657.0
ERR164517_1	42.01782131095852	48.0	94.95497493168331	9.090909090909092	29601110.0
ERR164517_2	41.942831601253175	48.0	94.88220782478646	9.090909090909092	29606661.0
ERR164518_1	43.55760536188581	49.0	95.16833230980488	9.090909090909092	34967274.0
ERR164518_2	43.361284388369235	49.0	95.10495394990305	9.090909090909092	34963010.0
ERR164519_1	39.4511834345556	48.0	95.03737099864105	9.090909090909092	32830565.0
ERR164519_2	38.98874266869045	48.0	94.95385123827835	9.090909090909092	32842333.0
ERR164520_1	45.81938378424601	49.0	94.83694824019706	9.090909090909092	33195876.0
ERR164520_2	45.434121192070855	49.0	94.83579164043881	9.090909090909092	33256626.0
ERR164521_1	48.38616243219247	50.0	94.57649481185896	9.090909090909092	34194136.0
ERR164521_2	48.027253806809675	50.0	94.48561345407079	9.090909090909092	34144610.0
ERR164522_1	47.17500654787828	49.0	95.09800528257449	9.090909090909092	35569399.0
ERR164522_2	46.83550986118789	49.0	95.00697401634537	9.090909090909092	35572902.0
ERR164523_1	49.883993101906576	49.0	94.8483000253939	9.090909090909092	31984066.0
ERR164523_2	49.64926926726916	49.0	94.83309721574608	9.090909090909092	32029945.0
ERR164524_1	46.7927647482181	49.0	94.94167181260295	9.090909090909092	27571918.0
ERR164524_2	46.34120883477861	49.0	94.8672292332605	9.090909090909092	27547909.0
ERR164525_1	45.831156184597596	49.0	95.915358948086	9.090909090909092	36360843.0
ERR164525_2	45.54379550897133	49.0	95.93107815965273	9.090909090909092	36267894.0
ERR164526_1	42.3649031818946	47.0	95.85298271863574	9.090909090909092	30003534.0
ERR164526_2	41.869989972941	47.0	95.73317467537406	9.090909090909092	29804997.0
ERR164527_1	45.14779705571084	48.0	96.0835191416069	9.090909090909092	32342478.0
ERR164527_2	44.857808276268194	48.0	96.07926722904902	9.090909090909092	32304119.0
ERR164528_1	49.402134063560666	49.0	95.94642735569056	9.090909090909092	37220190.0
